replicate,rank,top-1320 model,top-1320 acquired
1,0,0.03409090909090909,0.0
1,1,0.008333333333333333,0.0
1,2,0.015909090909090907,0.0
1,3,0.059848484848484845,0.0
1,4,0.06287878787878788,0.0022727272727272726
1,5,0.09090909090909091,0.0030303030303030303
2,0,0.011363636363636364,0.0
2,1,0.02803030303030303,0.0007575757575757576
2,2,0.04242424242424243,0.0007575757575757576
2,3,0.025757575757575757,0.004545454545454545
2,4,0.05757575757575758,0.004545454545454545
2,5,0.06212121212121212,0.004545454545454545
3,0,0.006818181818181818,0.0
3,1,0.021212121212121213,0.0007575757575757576
3,2,0.04772727272727273,0.0007575757575757576
3,3,0.04242424242424243,0.0022727272727272726
3,4,0.055303030303030305,0.0022727272727272726
3,5,0.05757575757575758,0.003787878787878788
4,0,0.020454545454545454,0.0
4,1,0.010606060606060607,0.0
4,2,0.07348484848484849,0.0
4,3,0.09015151515151515,0.0015151515151515152
4,4,0.038636363636363635,0.003787878787878788
4,5,0.13787878787878788,0.00909090909090909
5,0,0.02196969696969697,0.0
5,1,0.07878787878787878,0.0
5,2,0.007575757575757576,0.0
5,3,0.02878787878787879,0.0007575757575757576
5,4,0.0446969696969697,0.0015151515151515152
5,5,0.1393939393939394,0.0030303030303030303
6,0,0.055303030303030305,0.0
6,1,0.059848484848484845,0.0
6,2,0.06893939393939394,0.0
6,3,0.06060606060606061,0.0
6,4,0.06136363636363636,0.0
6,5,0.14166666666666666,0.0007575757575757576
7,0,0.11969696969696969,0.0
7,1,0.01893939393939394,0.006818181818181818
7,2,0.08636363636363636,0.00909090909090909
7,3,0.02727272727272727,0.010606060606060607
7,4,0.08181818181818182,0.011363636363636364
7,5,0.02803030303030303,0.023484848484848483
8,0,0.021212121212121213,0.0
8,1,0.0446969696969697,0.0
8,2,0.06060606060606061,0.0007575757575757576
8,3,0.07727272727272727,0.003787878787878788
8,4,0.058333333333333334,0.007575757575757576
8,5,0.05378787878787879,0.008333333333333333
9,0,0.006060606060606061,0.0
9,1,0.014393939393939395,0.0
9,2,0.02727272727272727,0.0
9,3,0.05909090909090909,0.0
9,4,0.1984848484848485,0.0030303030303030303
9,5,0.2015151515151515,0.00909090909090909
10,0,0.008333333333333333,0.0
10,1,0.00909090909090909,0.0
10,2,0.04621212121212121,0.0007575757575757576
10,3,0.07424242424242425,0.0022727272727272726
10,4,0.03787878787878788,0.008333333333333333
10,5,0.10833333333333334,0.009848484848484848
11,0,0.01893939393939394,0.0
11,1,0.06818181818181818,0.0
11,2,0.01818181818181818,0.0
11,3,0.06439393939393939,0.0015151515151515152
11,4,0.05303030303030303,0.0022727272727272726
11,5,0.031818181818181815,0.0022727272727272726
12,0,0.012878787878787878,0.0
12,1,0.03333333333333333,0.0
12,2,0.12954545454545455,0.0
12,3,0.15833333333333333,0.0030303030303030303
12,4,0.1621212121212121,0.006818181818181818
12,5,0.19696969696969696,0.011363636363636364
13,0,0.02727272727272727,0.0
13,1,0.06363636363636363,0.0
13,2,0.04090909090909091,0.003787878787878788
13,3,0.06287878787878788,0.006060606060606061
13,4,0.022727272727272728,0.007575757575757576
13,5,0.04242424242424243,0.008333333333333333
14,0,0.011363636363636364,0.0
14,1,0.035606060606060606,0.0
14,2,0.012121212121212121,0.0015151515151515152
14,3,0.016666666666666666,0.0022727272727272726
14,4,0.03636363636363636,0.0030303030303030303
14,5,0.026515151515151516,0.003787878787878788
15,0,0.006060606060606061,0.0
15,1,0.007575757575757576,0.0
15,2,0.03257575757575758,0.0
15,3,0.012121212121212121,0.0
15,4,0.02878787878787879,0.0
15,5,0.06060606060606061,0.0
16,0,0.00909090909090909,0.0
16,1,0.05,0.0
16,2,0.041666666666666664,0.003787878787878788
16,3,0.09924242424242424,0.004545454545454545
16,4,0.11515151515151516,0.006818181818181818
16,5,0.13863636363636364,0.008333333333333333
17,0,0.015909090909090907,0.0
17,1,0.017424242424242425,0.0
17,2,0.012121212121212121,0.0
17,3,0.0893939393939394,0.0
17,4,0.09848484848484848,0.0022727272727272726
17,5,0.05,0.0030303030303030303
18,0,0.02878787878787879,0.0
18,1,0.11818181818181818,0.0015151515151515152
18,2,0.1303030303030303,0.0015151515151515152
18,3,0.04696969696969697,0.012878787878787878
18,4,0.07878787878787878,0.015151515151515152
18,5,0.16287878787878787,0.01893939393939394
19,0,0.12348484848484849,0.0
19,1,0.2106060606060606,0.004545454545454545
19,2,0.18863636363636363,0.005303030303030303
19,3,0.10303030303030303,0.01818181818181818
19,4,0.08181818181818182,0.025757575757575757
19,5,0.1053030303030303,0.030303030303030304
20,0,0.016666666666666666,0.0
20,1,0.012878787878787878,0.0
20,2,0.025757575757575757,0.0007575757575757576
20,3,0.05303030303030303,0.0007575757575757576
20,4,0.04772727272727273,0.0015151515151515152
20,5,0.06136363636363636,0.008333333333333333
21,0,0.03484848484848485,0.0
21,1,0.005303030303030303,0.0
21,2,0.03106060606060606,0.0
21,3,0.05075757575757576,0.0015151515151515152
21,4,0.05757575757575758,0.0015151515151515152
21,5,0.0659090909090909,0.0030303030303030303
22,0,0.06060606060606061,0.0
22,1,0.031818181818181815,0.0
22,2,0.008333333333333333,0.0007575757575757576
22,3,0.04621212121212121,0.0007575757575757576
22,4,0.025,0.0015151515151515152
22,5,0.029545454545454545,0.0030303030303030303
23,0,0.007575757575757576,0.0
23,1,0.012121212121212121,0.0
23,2,0.06287878787878788,0.0015151515151515152
23,3,0.15378787878787878,0.004545454545454545
23,4,0.15227272727272728,0.007575757575757576
23,5,0.13636363636363635,0.013636363636363636
24,0,0.012878787878787878,0.0
24,1,0.021212121212121213,0.0
24,2,0.055303030303030305,0.0
24,3,0.09090909090909091,0.0015151515151515152
24,4,0.055303030303030305,0.0022727272727272726
24,5,0.1,0.004545454545454545
25,0,0.005303030303030303,0.0
25,1,0.004545454545454545,0.0
25,2,0.01818181818181818,0.0
25,3,0.1303030303030303,0.0
25,4,0.15378787878787878,0.0030303030303030303
25,5,0.17727272727272728,0.00909090909090909
26,0,0.007575757575757576,0.0007575757575757576
26,1,0.06212121212121212,0.0007575757575757576
26,2,0.16515151515151516,0.0007575757575757576
26,3,0.12424242424242424,0.004545454545454545
26,4,0.0946969696969697,0.006060606060606061
26,5,0.1053030303030303,0.006818181818181818
27,0,0.006060606060606061,0.0
27,1,0.013636363636363636,0.0
27,2,0.08409090909090909,0.0
27,3,0.03484848484848485,0.0007575757575757576
27,4,0.030303030303030304,0.0015151515151515152
27,5,0.08409090909090909,0.003787878787878788
28,0,0.029545454545454545,0.0
28,1,0.04015151515151515,0.0007575757575757576
28,2,0.06893939393939394,0.0015151515151515152
28,3,0.09242424242424242,0.006060606060606061
28,4,0.03787878787878788,0.006818181818181818
28,5,0.10454545454545454,0.011363636363636364
29,0,0.09318181818181819,0.0
29,1,0.005303030303030303,0.0007575757575757576
29,2,0.01893939393939394,0.0007575757575757576
29,3,0.048484848484848485,0.0007575757575757576
29,4,0.18181818181818182,0.007575757575757576
29,5,0.08181818181818182,0.012878787878787878
30,0,0.008333333333333333,0.0
30,1,0.015909090909090907,0.0
30,2,0.017424242424242425,0.0
30,3,0.025,0.0015151515151515152
30,4,0.04090909090909091,0.0015151515151515152
